Iter     Function value   Gradient norm 
   222     8.213326e+04     9.065175e+00
   223     8.213313e+04     9.848209e+00
   224     8.213304e+04     6.573484e+00
   225     8.213297e+04     3.032349e+01
   226     8.213288e+04     1.033094e+01
   227     8.213281e+04     9.939891e+00
   228     8.213271e+04     8.449276e+00
   229     8.213263e+04     4.675373e+00
   230     8.213255e+04     3.405392e+00
   231     8.213247e+04     2.008331e+00
   232     8.213240e+04     3.941087e+00
   233     8.213237e+04     3.902679e+00
   234     8.213234e+04     3.618407e+00
   235     8.213231e+04     5.006117e+00
   236     8.213229e+04     2.667315e+00
   237     8.213227e+04     2.645697e+00
   238     8.213222e+04     7.204211e+00
   239     8.213219e+04     7.242756e+00
   240     8.213218e+04     4.667489e+00
   241     8.213215e+04     2.880279e+00
   242     8.213213e+04     2.581455e+00
   243     8.213212e+04     3.869521e+00
   244     8.213209e+04     1.854860e+00
   245     8.213209e+04     4.561928e+00
   246     8.213206e+04     1.767225e+00
   247     8.213205e+04     2.477596e+00
   248     8.213204e+04     3.083846e+00
   249     8.213203e+04     2.617398e+00
   250     8.213202e+04     2.973152e+00
   251     8.213201e+04     3.364406e+00
   252     8.213200e+04     2.846682e+00
   253     8.213199e+04     5.301682e+00
   254     8.213197e+04     2.164903e+00
   255     8.213195e+04     1.586211e+00
   256     8.213193e+04     4.701113e+00
   257     8.213191e+04     2.169412e+00
   258     8.213189e+04     3.536275e+00
   259     8.213188e+04     4.371184e+00
   260     8.213186e+04     5.656602e+00
   261     8.213185e+04     1.431072e+00
   262     8.213184e+04     8.278989e-01
   263     8.213182e+04     1.186134e+00
   264     8.213181e+04     2.773581e+00
   265     8.213179e+04     2.319468e+00
   266     8.213177e+04     2.422752e+00
   267     8.213176e+04     2.115914e+00
   268     8.213175e+04     2.381477e+00
   269     8.213175e+04     8.712445e-01
   270     8.213173e+04     1.796231e+00
   271     8.213171e+04     3.598743e+00
   272     8.213170e+04     5.356156e+00
   273     8.213167e+04     2.649862e+00
   274     8.213167e+04     1.943228e+00
   275     8.213166e+04     1.200221e+00
   276     8.213166e+04     1.407737e+00
   277     8.213165e+04     1.561715e+00
   278     8.213164e+04     1.470074e+00
   279     8.213163e+04     1.200843e+00
   280     8.213163e+04     1.197857e+00
   281     8.213163e+04     7.566479e-01
   282     8.213162e+04     8.949964e-01
   283     8.213162e+04     1.348461e+00
   284     8.213161e+04     2.065361e+00
   285     8.213161e+04     2.309376e+00
   286     8.213160e+04     1.871765e+00
   287     8.213160e+04     1.016458e+00
   288     8.213160e+04     6.906792e-01
   289     8.213159e+04     7.472165e-01
   290     8.213159e+04     7.799592e-01
   291     8.213158e+04     8.416687e-01
   292     8.213158e+04     8.810842e-01
   293     8.213157e+04     8.656414e-01
   294     8.213156e+04     7.279262e-01
   295     8.213155e+04     6.778220e-01
   296     8.213154e+04     1.309511e+00
   297     8.213153e+04     1.396192e+00
   298     8.213152e+04     1.756601e+00
   299     8.213150e+04     1.399584e+00
   300     8.213149e+04     1.427965e+00
   301     8.213147e+04     1.572796e+00
   302     8.213146e+04     1.601599e+00
   303     8.213144e+04     2.117563e+00
   304     8.213142e+04     2.817830e+00
   305     8.213141e+04     3.766894e+00
   306     8.213139e+04     4.519126e+00
   307     8.213137e+04     5.077359e+00
   308     8.213135e+04     5.960582e+00
   309     8.213133e+04     6.673899e+00
   310     8.213131e+04     7.585755e+00
   311     8.213130e+04     9.421995e+00
   312     8.213130e+04     1.651332e+00
   313     8.213129e+04     1.822667e+00
   314     8.213129e+04     2.587976e+00
┌ Warning: CI computation failed.
└ @ pulse_input_DDM ~/Projects/pulse_input_DDM.jl/src/neural_model/wrapper_functions.jl:78
28677.617446 seconds (10.88 G allocations: 1.273 TiB, 1.69% gc time)
11813.494976 seconds (1.10 G allocations: 154.037 GiB, 1.60% gc time)
